date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017/6/1,sh.600000,11.63189592,11.80482708,11.54998116,11.75931888,11.68650576,96217055,1235216032,2,0.342364,1,0.623052,6.76934,1.037013,2.25583,-3.29337,0
2017/6/2,sh.600000,11.76842052,11.84123364,11.59548936,11.73201396,11.75931888,80197701,1034450240,2,0.285363,1,-0.232196,6.753622,1.034605,2.250592,-3.285723,0
2017/6/5,sh.600000,11.64099756,11.72291232,11.38615164,11.6956074,11.73201396,75876475,963227280,2,0.269987,1,-0.310318,6.732664,1.031394,2.243608,-3.275527,0
2017/6/6,sh.600000,11.6500992,11.68650576,11.52267624,11.6500992,11.6956074,36104406,460469440,2,0.128468,1,-0.389107,6.706467,1.027381,2.234878,-3.262781,0
2017/6/7,sh.600000,11.65920084,11.82303036,11.63189592,11.68650576,11.6500992,64395191,827766624,2,0.229134,1,0.3125,6.727425,1.030591,2.241862,-3.272978,0
2017/6/8,sh.600000,11.61369264,11.70470904,11.53177788,11.68650576,11.68650576,48194843,615876304,2,0.171489,1,0,6.727425,1.030591,2.241862,-3.272978,0
2017/6/9,sh.600000,11.64099756,12.0141648,11.62279428,11.76842052,11.68650576,114434319,1489264560,2,0.407185,1,0.700936,6.774579,1.037815,2.257576,-3.295919,0
2017/6/12,sh.600000,11.7411156,11.95955496,11.61369264,11.63189592,11.76842052,73931192,955965936,2,0.263065,1,-1.160097,6.695988,1.025776,2.231386,-3.257683,0
2017/6/13,sh.600000,11.63189592,11.63189592,11.43165984,11.45896476,11.63189592,52716070,665205808,2,0.187577,1,-1.486695,6.596439,1.010525,2.198212,-3.209251,0
2017/6/14,sh.600000,11.4680664,11.50447296,11.20411884,11.34064344,11.45896476,55306982,687620416,2,0.196796,1,-1.032566,6.528326,1.000091,2.175514,-3.176114,0
2017/6/15,sh.600000,11.29513524,11.34064344,11.17681392,11.26783032,11.34064344,37492860,462612624,2,0.133409,1,-0.642054,6.486411,0.99367,2.161546,-3.155721,0
